id;name;state_id
1;Raoued;1
2;Sidi Thabet;1
3;Ariana Ville;1
4;La Soukra;1
5;Kalaat Landlous;1
6;Ettadhamen;1
7;Minhla;1
8;Beja Nord;2
9;Nefza;2
10;Goubellat;2
11;Mejez El Bab;2
12;Amdoun;2
13;Teboursouk;2
14;Testour;2
15;Thibar;2
16;Beja Sud;2
17;Ezzahra;3
18;Mohamadia;3
19;Rades;3
20;El Mourouj;3
21;Fouchana;3
22;Hammam Chatt;3
23;Hammam Lif;3
24;Megrine;3
25;Nouvelle Medina;3
26;Mornag;3
27;Bou Mhel El Bassatine;3
28;Ben Arous;3
29;Menzel Bourguiba;4
30;Utique;4
31;Menzel Jemil;4
32;Bizerte Nord;4
33;Bizerte Sud;4
34;El Alia;4
35;Sejnane;4
36;Ghar el melh;4
37;Ghezala;4
38;Jarzouna;4
39;Joumine;4
40;Mateur;4
41;Ras Jebel;4
42;Tinja;4
43;El Metouia;5
44;Gabes Medina;5
45;Gabes Ouest;5
46;Gabes Sud;5
47;El Hamma;5
48;Nouvelle Matmata;5
49;Mareth;5
50;Ghannouche;5
51;Matmata;5
52;Menzel Habib;5
53;Belkhir;6
54;El Guettar;6
55;El Ksar;6
56;El Mdhilla;6
57;Sned;6
58;Moulares;6
59;Redeyef;6
60;Sidi Aich;6
61;Gafsa Sud;6
62;Metlaoui;6
63;Gafsa Nord;6
64;Fernana;7
65;Ghardimaou;7
66;Tabarka;7
67;Jendouba;7
68;Jendouba Nord;7
69;Ain Drahem;7
70;Oued Mliz;7
71;Bou Salem;7
72;Balta Bou Aouene;7
73;Sbikha;8
74;Kairouan Sud;8
75;Oueslatia;8
76;Nasrallah;8
77;Kairouan Nord;8
78;El Ala;8
79;Hajeb El Ayoun;8
80;Chebika;8
81;Haffouz;8
82;Cherarda;8
83;Bou Hajla;8
84;Haidra;9
85;Sebeitla;9
86;Mejel Bel Abbes;9
87;Kasserine Nord;9
88;El Ayoun;9
89;Ezzouhour;9
90;Feriana;9
91;Foussana;9
92;Hassi El Frid;9
93;Jediliane;9
94;Kasserine Sud;9
95;Sbiba;9
96;Thala;9
97;Souk El Ahad;10
98;Kebili Sud;10
99;Kebili Nord;10
100;Douz;10
101;El Faouar;10
102;Tajerouine;11
103;Touiref;11
104;Nebeur;11
105;Sakiet Sidi Youssef;11
106;Le Sers;11
107;El Ksour;11
108;Le Kef Est;11
109;Dahmani;11
110;Kalaat Sinane;11
111;Jerissa;11
112;Kalaa El Khasba;11
113;Le Lef Ouest;11
114;Melloulech;12
115;Sidi Alouene;12
116;Mahdia;12
117;Souassi;12
118;Ouled Chamakh;12
119;Bou Merdes;12
120;Chorbane;12
121;Ksour Essaf;12
122;Hbira;12
123;La Chebba;12
124;El Jem;12
125;Borj El Amri;13
126;Jedaida;13
127;Oued Elil;13
128;Tebourba;13
129;El Battan;13
130;Mannouba;13
131;Mornaguia;13
132;Douar Hicher;13
133;Houmet Essouk;14
134;Medenine Sud;14
135;Beni Khedache;14
136;Sidi Makhlouf;14
137;Midoun;14
138;Zarzis;14
139;Medenine Nord;14
140;Ben Guerdane;14
141;Ajim;14
142;Sayada Lamta Bou Hajar;15
143;Ksibet El Mediouni;15
144;Ksar Helal;15
145;Jemmal;15
146;Sahline;15
147;Monastir;15
148;Moknine;15
149;Ouerdanine;15
150;Teboulba;15
151;Zeramdine;15
152;Bekalta;15
153;Bembla;15
154;Beni Hassen;15
155;Korba;16
156;Soliman;16
157;Tekelsa;16
158;Menzel Bouzelfa;16
